Popular Quotes,Author Names,Likes,Links,Images
"    The best fantasy is written in the language of dreams. It is alive as dreams are alive, more real than real ... for a moment at least ... that long magic moment before we wake. Fantasy is silver and scarlet, indigo and azure, obsidian veined with gold and lapis lazuli. Reality is plywood and plastic, done up in mud brown and olive drab. Fantasy tastes of habaneros and honey, cinnamon and cloves, rare red meat and wines as sweet as summer. Reality is beans and tofu, and ashes at the end. Reality is the strip malls of Burbank, the smokestacks of Cleveland, a parking garage in Newark. Fantasy is the towers of Minas Tirith, the ancient stones of Gormenghast, the halls of Camelot. Fantasy flies on the wings of Icarus, reality on Southwest Airlines. Why do our dreams become so much smaller when they finally come true? We read fantasy to find the colors again, I think. To taste strong spices and hear the songs the sirens sang. There is something old and true in fantasy that speaks to something deep within us, to the child who dreamt that one day he would hunt the forests of the night, and feast beneath the hollow hills, and find a love to last forever somewhere south of Oz and north of Shangri-La. They can keep their heaven. When I die, I'd sooner go to middle Earth.",    George R.R. Martin  ,3358,/author/show/346732.George_R_R_Martin,https://images.gr-assets.com/authors/1649011787p2/346732.jpg
    It does not matter how slowly you go as long as you do not stop.,    Confucius  ,3358,/author/show/15321.Confucius,https://images.gr-assets.com/authors/1407613261p2/15321.jpg
"    Keep in mind that people change, but the past doesn't.","    Becca Fitzpatrick,  ",3357,/author/show/2876763.Becca_Fitzpatrick,https://images.gr-assets.com/authors/1390505291p2/2876763.jpg
    It is absurd to divide people into good and bad. People are either charming or tedious.,"    Oscar Wilde,  ",3357,/author/show/3565.Oscar_Wilde,https://images.gr-assets.com/authors/1521044377p2/3565.jpg
"    The beauty of a woman is not in the clothes she wears, the figure that she carries, or the way she combs her hair. The beauty of a woman is seen in her eyes, because that is the doorway to her heart, the place where love resides. True beauty in a woman is reflected in her soul. It's the caring that she lovingly gives, the passion that she shows & the beauty of a woman only grows with passing years.",    Audrey Hepburn  ,3356,/author/show/692403.Audrey_Hepburn,https://images.gr-assets.com/authors/1362614211p2/692403.jpg
    Youth can not know how age thinks and feels. But old men are guilty if they forget what it was to be young.,"    J.K. Rowling ,  ",3356,/author/show/1077326.J_K_Rowling,https://images.gr-assets.com/authors/1596216614p2/1077326.jpg
    I suppose a fire that burns that bright is not meant to last.,"    Veronica Roth,  ",3353,/author/show/4039811.Veronica_Roth,https://images.gr-assets.com/authors/1588707274p2/4039811.jpg
    Art enables us to find ourselves and lose ourselves at the same time.,"    Thomas Merton ,  ",3353,/author/show/1711.Thomas_Merton,https://images.gr-assets.com/authors/1201097624p2/1711.jpg
"    I'm saying that I'm a moody, insecure, narrow-minded, jealous, borderline homicidal bitch, and I want you to promise me that you're okay with that, because it's who I am, and you're what I need.","    Jeaniene Frost,  ",3351,/author/show/669810.Jeaniene_Frost,https://images.gr-assets.com/authors/1310062695p2/669810.jpg
"    There was another life that I might have had, but I am having this one.",    Kazuo Ishiguro  ,3348,/author/show/4280.Kazuo_Ishiguro,https://images.gr-assets.com/authors/1424906625p2/4280.jpg
    Never underestimate the power of stupid people in large groups.,    George Carlin  ,3346,/author/show/22782.George_Carlin,https://images.gr-assets.com/authors/1664917557p2/22782.jpg
"    I fell in love with you, smartass, because you were one of u?îbecause you were?ôt afraid of me, and you decided to end your spectacular victory by throwing that piece of bone at Amarantha like a javelin. I felt Cassia?ôs spirit beside me in that moment, and could have sworn I heard him say,?òIf you do?ôt marry her, you stupid prick, I will.","    Sarah J. Maas,  ",3345,/author/show/3433047.Sarah_J_Maas,https://images.gr-assets.com/authors/1582137198p2/3433047.jpg
"    In a time of destruction, create something.",    Maxine Hong Kingston  ,3344,/author/show/17290.Maxine_Hong_Kingston,https://images.gr-assets.com/authors/1202527632p2/17290.jpg
    Life isn't finding shelter in the storm. It's about learning to dance in the rain.,"    Sherrilyn Kenyon,  ",3343,/author/show/4430.Sherrilyn_Kenyon,https://images.gr-assets.com/authors/1547439330p2/4430.jpg
"    If neurotic is wanting two mutually exclusive things at one and the same time, then I'm neurotic as hell. I'll be flying back and forth between one mutually exclusive thing and another for the rest of my days.","    Sylvia Plath,  ",3343,/author/show/4379.Sylvia_Plath,https://images.gr-assets.com/authors/1613135175p2/4379.jpg
